Card 1,Card 2,Card 3,Score
Ac,Ah,As,1.000000000
Tc,Td,Ts,0.995377646
9c,9d,9h,0.993976223
Qc,Qd,Qh,0.991698696
Ad,Ah,As,0.991354133
8c,8h,8s,0.990496484
Jc,Jh,Js,0.988605045
Td,Th,Ts,0.987665783
Tc,Th,Ts,0.987454425
7c,7h,7s,0.985678277
Kc,Kd,Ks,0.984982699
Jc,Jd,Jh,0.984315454
Qc,Qd,Qs,0.982796462
9c,9d,9s,0.982227995
Jd,Jh,Js,0.980925029
Ac,Ad,Ah,0.979630533
Qd,Qh,Qs,0.976664340
8d,8h,8s,0.975573346
Tc,Td,Th,0.973985463
Kc,Kh,Ks,0.973980089
8c,8d,8h,0.973859999
Kc,Kd,Kh,0.973847133
Jc,Jd,Js,0.972322477
Kd,Kh,Ks,0.972142839
Ac,Ad,As,0.971936802
6c,6d,6h,0.970562703
Qc,Qh,Qs,0.968319060
9d,9h,9s,0.967706341
8c,8d,8s,0.967466995
7c,7d,7s,0.962737778
6d,6h,6s,0.960688592
7c,7d,7h,0.960232239
9c,9h,9s,0.956614215
5c,5h,5s,0.953133395
5c,5d,5s,0.948765696
4c,4d,4s,0.947558918
7d,7h,7s,0.946073960
4d,4h,4s,0.945550648
6c,6h,6s,0.944072838
3c,3d,3h,0.943330131
5d,5h,5s,0.940145766
4c,4d,4h,0.940039519
5c,5d,5h,0.929161453
3c,3h,3s,0.927763610
4c,4h,4s,0.926927072
3d,3h,3s,0.925696356
2c,2d,2s,0.925191673
3c,3d,3s,0.923437529
6c,6d,6s,0.923120280
2d,2h,2s,0.914908175
2c,2d,2h,0.911368264
2c,2h,2s,0.903738184
5s,Ad,As,0.839951729
Ac,As,Th,0.837762706
Ad,As,Qd,0.837594534
4s,Ad,As,0.837469697
4h,Ac,Ah,0.836975738
2d,Ad,Ah,0.836936236
4d,Ad,As,0.832327462
5s,Ac,As,0.832066171
4s,Ad,Ah,0.830947742
5c,Ac,As,0.830432908
4d,Ad,Ah,0.829817554
8c,Ac,As,0.828292978
Ah,As,Js,0.827806057
Ac,As,Jc,0.826231528
4s,Ah,As,0.826101008
Ad,Ah,Jh,0.825716852
Ac,Kc,Kd,0.825639672
7s,Ac,Ad,0.824204725
Ac,Ah,Jh,0.821575561
Ac,Ah,Qd,0.821324501
8c,Ad,As,0.821088541
3s,Ac,Ad,0.820750708
8d,Ad,As,0.820391471
3d,Ad,As,0.820256357
Ad,As,Jh,0.820216512
Ac,Ad,Td,0.819215388
Ac,As,Jd,0.818123303
5h,Ac,Ad,0.817958193
8h,Ad,Ah,0.817613799
3c,Ac,Ad,0.817180623
Ac,Ad,Js,0.817083444
9s,Ac,As,0.816519512
6h,Ah,As,0.816422147
2d,Ad,As,0.816319805
2s,Ac,As,0.815911175
7c,Ac,Ad,0.815582280
